period,channel,spend
2024-12,paid_search,19219.0
2024-12,paid_social,6800.0
2024-12,events,22500.0
2024-12,email,1073.0
2024-12,content_syndication,396.0
2025-01,paid_search,18511.0
2025-01,paid_social,10419.0
2025-01,events,22500.0
2025-01,email,5319.0
2025-01,content_syndication,4556.0
2025-02,paid_search,18264.0
2025-02,paid_social,17636.0
2025-02,events,0.0
2025-02,email,4553.0
2025-02,content_syndication,1082.0
2025-03,paid_search,21514.0
2025-03,paid_social,11750.0
2025-03,events,0.0
2025-03,email,5834.0
2025-03,content_syndication,2691.0
2025-04,paid_search,16287.0
2025-04,paid_social,10239.0
2025-04,events,0.0
2025-04,email,4619.0
2025-04,content_syndication,3862.0
2025-05,paid_search,26567.0
2025-05,paid_social,9968.0
2025-05,events,0.0
2025-05,email,4924.0
2025-05,content_syndication,5258.0
2025-06,paid_search,17544.0
2025-06,paid_social,7799.0
2025-06,events,22500.0
2025-06,email,5115.0
2025-06,content_syndication,4086.0
2025-07,paid_search,15338.0
2025-07,paid_social,13161.0
2025-07,events,0.0
2025-07,email,5307.0
2025-07,content_syndication,3447.0
2025-08,paid_search,20716.0
2025-08,paid_social,12338.0
2025-08,events,22500.0
2025-08,email,1814.0
2025-08,content_syndication,2361.0
2025-09,paid_search,16119.0
2025-09,paid_social,8806.0
2025-09,events,0.0
2025-09,email,2701.0
2025-09,content_syndication,4937.0
2025-10,paid_search,11269.0
2025-10,paid_social,10326.0
2025-10,events,22500.0
2025-10,email,5067.0
2025-10,content_syndication,4587.0
2025-11,paid_search,16605.0
2025-11,paid_social,9688.0
2025-11,events,22500.0
2025-11,email,2086.0
2025-11,content_syndication,733.0
2025-12,paid_search,14322.0
2025-12,paid_social,14486.0
2025-12,events,22500.0
2025-12,email,3359.0
2025-12,content_syndication,3317.0
2026-01,paid_search,20502.0
2026-01,paid_social,10453.0
2026-01,events,0.0
2026-01,email,3455.0
2026-01,content_syndication,2237.0
2026-02,paid_search,13217.0
2026-02,paid_social,14435.0
2026-02,events,22500.0
2026-02,email,4721.0
2026-02,content_syndication,3893.0
2026-03,paid_search,20662.0
2026-03,paid_social,11508.0
2026-03,events,22500.0
2026-03,email,1469.0
2026-03,content_syndication,106.0
2026-04,paid_search,12709.0
2026-04,paid_social,7014.0
2026-04,events,22500.0
2026-04,email,3433.0
2026-04,content_syndication,5598.0
